step,tokens,train_loss,val_loss,lr,tok_per_sec
1780,466616320,3.5360,,2.997010e-04,125100
1790,469237760,3.5048,,2.996933e-04,124598
1800,471859200,3.5188,,2.996855e-04,124418
1810,474480640,3.5513,,2.996776e-04,124613
1820,477102080,3.5172,,2.996695e-04,124371
1830,479723520,3.5317,,2.996614e-04,124523
1840,482344960,3.5026,,2.996532e-04,124727
1850,484966400,3.5282,,2.996449e-04,124851
1860,487587840,3.5059,,2.996365e-04,124301
1870,490209280,3.5093,,2.996280e-04,124480
1880,492830720,3.5210,,2.996194e-04,124589
1890,495452160,3.4803,,2.996107e-04,124376
1900,498073600,3.5072,,2.996019e-04,124857
1910,500695040,3.5224,,2.995930e-04,124370
1920,503316480,3.5105,,2.995840e-04,124401
1930,505937920,3.4852,,2.995749e-04,124363
1940,508559360,3.5034,,2.995657e-04,124848
1950,511180800,3.4656,,2.995564e-04,124774
1960,513802240,3.4699,,2.995470e-04,124452
1970,516423680,3.4958,,2.995375e-04,124464
1980,519045120,3.4878,,2.995279e-04,124862
1990,521666560,3.4828,,2.995182e-04,124352
2000,524288000,3.4772,,2.995084e-04,124850
2000,524288000,,3.4738,2.995084e-04,
2010,526909440,3.4647,,2.994985e-04,127170
2020,529530880,3.4578,,2.994885e-04,125406
2030,532152320,3.4677,,2.994785e-04,125207
2040,534773760,3.4851,,2.994683e-04,124909
2050,537395200,3.4696,,2.994580e-04,124792
2060,540016640,3.4724,,2.994476e-04,124470
2070,542638080,3.4648,,2.994372e-04,124743
2080,545259520,3.4486,,2.994266e-04,125019
2090,547880960,3.4465,,2.994159e-04,124885
2100,550502400,3.4404,,2.994051e-04,124758
2110,553123840,3.4668,,2.993943e-04,124512
2120,555745280,3.4593,,2.993833e-04,124465
2130,558366720,3.4478,,2.993723e-04,124383
2140,560988160,3.4707,,2.993611e-04,124291
2150,563609600,3.4431,,2.993498e-04,124321
2160,566231040,3.4513,,2.993385e-04,124924
2170,568852480,3.4461,,2.993270e-04,124875
2180,571473920,3.4403,,2.993155e-04,124888
2190,574095360,3.4349,,2.993038e-04,124911
2200,576716800,3.4199,,2.992921e-04,124446
